Attribute names:	P0	P1	P2
Minor allele frequencies:	0.100	0.100	0.100
x: 4.33362711713349e-11
y: 52.3570008123670
Prevalence: 2.54778544680620e-6
Heritability: 0.400000000000000

Table:

4.33362711713349E-11, 2.31229345609387E-9, 1.23377043815231E-7
2.31229345609387E-9, 1.23377043815231E-7, 0.00000658302902707673
1.23377043815231E-7, 0.00000658302902707673, 0.000351250685145569

2.31229345609387E-9, 1.23377043815231E-7, 0.00000658302902707673
1.23377043815231E-7, 0.00000658302902707673, 0.000351250685145569
0.00000658302902707673, 0.000351250685145569, 0.0187416830926566

1.23377043815231E-7, 0.00000658302902707673, 0.000351250685145569
0.00000658302902707673, 0.000351250685145569, 0.0187416830926566
0.000351250685145569, 0.0187416830926566, 1.00000000000000
 
